产品参考编码,产品/名称,产品/SKU 优先级,计量单位,包装数量,位置,位置/位置名称,可用数量,预留数量,数量,库位类型,长（cm),宽(cm),高(cm),状态,仓库,货架,位置.1,层数,在手
,,,,,,A011220,,,,存货位,135.0,90.0,160.0,可用,A,1.0,12.0,20.0,
,,,,,,A011230,,,,存货位,135.0,90.0,120.0,可用,A,1.0,12.0,30.0,
,,,,,,A011240,,,,存货位,135.0,90.0,120.0,可用,A,1.0,12.0,40.0,
,,,,,,A011250,,,,存货位,135.0,90.0,120.0,可用,A,1.0,12.0,50.0,
,,,,,,A011300,,,,存货位,135.0,90.0,160.0,可用,A,1.0,13.0,0.0,
,,,,,,A011310,,,,存货位,135.0,90.0,160.0,可用,A,1.0,13.0,10.0,
,,,,,,A011320,,,,存货位,135.0,90.0,160.0,可用,A,1.0,13.0,20.0,
,,,,,,A011330,,,,存货位,135.0,90.0,120.0,可用,A,1.0,13.0,30.0,
,,,,,,A011340,,,,存货位,135.0,90.0,120.0,可用,A,1.0,13.0,40.0,
,,,,,,A011350,,,,存货位,135.0,90.0,120.0,可用,A,1.0,13.0,50.0,
,,,,,,A011400,,,,存货位,135.0,90.0,160.0,可用,A,1.0,14.0,0.0,
,,,,,,A011410,,,,存货位,135.0,90.0,160.0,可用,A,1.0,14.0,10.0,
,,,,,,A011420,,,,存货位,135.0,90.0,160.0,可用,A,1.0,14.0,20.0,
,,,,,,A011430,,,,存货位,135.0,90.0,120.0,可用,A,1.0,14.0,30.0,
,,,,,,A011440,,,,存货位,135.0,90.0,120.0,可用,A,1.0,14.0,40.0,
,,,,,,A011450,,,,存货位,135.0,90.0,120.0,可用,A,1.0,14.0,50.0,
,,,,,,A011500,,,,存货位,135.0,90.0,160.0,可用,A,1.0,15.0,0.0,
,,,,,,A011510,,,,存货位,135.0,90.0,160.0,可用,A,1.0,15.0,10.0,
,,,,,,A011520,,,,存货位,135.0,90.0,160.0,可用,A,1.0,15.0,20.0,
,,,,,,A011530,,,,存货位,135.0,90.0,120.0,可用,A,1.0,15.0,30.0,
,,,,,,A011540,,,,存货位,135.0,90.0,120.0,可用,A,1.0,15.0,40.0,
,,,,,,A011550,,,,存货位,135.0,90.0,120.0,可用,A,1.0,15.0,50.0,
,,,,,,A011600,,,,存货位,135.0,90.0,160.0,可用,A,1.0,16.0,0.0,
,,,,,,A011610,,,,存货位,135.0,90.0,160.0,可用,A,1.0,16.0,10.0,
,,,,,,A011620,,,,存货位,135.0,90.0,160.0,可用,A,1.0,16.0,20.0,
,,,,,,A011630,,,,存货位,135.0,90.0,120.0,可用,A,1.0,16.0,30.0,
,,,,,,A011640,,,,存货位,135.0,90.0,120.0,可用,A,1.0,16.0,40.0,
,,,,,,A011650,,,,存货位,135.0,90.0,120.0,可用,A,1.0,16.0,50.0,
,,,,,,A011700,,,,存货位,135.0,90.0,160.0,可用,A,1.0,17.0,0.0,
,,,,,,A011710,,,,存货位,135.0,90.0,160.0,可用,A,1.0,17.0,10.0,
,,,,,,A011720,,,,存货位,135.0,90.0,160.0,可用,A,1.0,17.0,20.0,
,,,,,,A011730,,,,存货位,135.0,90.0,120.0,可用,A,1.0,17.0,30.0,
,,,,,,A011740,,,,存货位,135.0,90.0,120.0,可用,A,1.0,17.0,40.0,
,,,,,,A011750,,,,存货位,135.0,90.0,120.0,可用,A,1.0,17.0,50.0,
,,,,,,A011800,,,,存货位,135.0,90.0,160.0,可用,A,1.0,18.0,0.0,
,,,,,,A011810,,,,存货位,135.0,90.0,160.0,可用,A,1.0,18.0,10.0,
,,,,,,A011820,,,,存货位,135.0,90.0,160.0,可用,A,1.0,18.0,20.0,
,,,,,,A011830,,,,存货位,135.0,90.0,120.0,可用,A,1.0,18.0,30.0,
,,,,,,A011840,,,,存货位,135.0,90.0,120.0,可用,A,1.0,18.0,40.0,
,,,,,,A011850,,,,存货位,135.0,90.0,120.0,可用,A,1.0,18.0,50.0,
,,,,,,A011900,,,,存货位,135.0,90.0,160.0,可用,A,1.0,19.0,0.0,
,,,,,,A011910,,,,存货位,135.0,90.0,160.0,可用,A,1.0,19.0,10.0,
,,,,,,A011920,,,,存货位,135.0,90.0,160.0,可用,A,1.0,19.0,20.0,
,,,,,,A011930,,,,存货位,135.0,90.0,120.0,可用,A,1.0,19.0,30.0,
,,,,,,A011940,,,,存货位,135.0,90.0,120.0,可用,A,1.0,19.0,40.0,
,,,,,,A011950,,,,存货位,135.0,90.0,120.0,可用,A,1.0,19.0,50.0,
,,,,,,A012000,,,,存货位,135.0,90.0,160.0,可用,A,1.0,20.0,0.0,
,,,,,,A012010,,,,存货位,135.0,90.0,160.0,可用,A,1.0,20.0,10.0,
,,,,,,A012020,,,,存货位,135.0,90.0,160.0,可用,A,1.0,20.0,20.0,
,,,,,,A012030,,,,存货位,135.0,90.0,120.0,可用,A,1.0,20.0,30.0,
,,,,,,A012040,,,,存货位,135.0,90.0,120.0,可用,A,1.0,20.0,40.0,
,,,,,,A012050,,,,存货位,135.0,90.0,120.0,可用,A,1.0,20.0,50.0,
,,,,,,A012100,,,,存货位,135.0,90.0,160.0,可用,A,1.0,21.0,0.0,
,,,,,,A012110,,,,存货位,135.0,90.0,160.0,可用,A,1.0,21.0,10.0,
,,,,,,A012120,,,,存货位,135.0,90.0,160.0,可用,A,1.0,21.0,20.0,
,,,,,,A012130,,,,存货位,135.0,90.0,120.0,可用,A,1.0,21.0,30.0,
,,,,,,A012140,,,,存货位,135.0,90.0,120.0,可用,A,1.0,21.0,40.0,
,,,,,,A012150,,,,存货位,135.0,90.0,120.0,可用,A,1.0,21.0,50.0,
,,,,,,A012200,,,,存货位,135.0,90.0,160.0,可用,A,1.0,22.0,0.0,
,,,,,,A012210,,,,存货位,135.0,90.0,160.0,可用,A,1.0,22.0,10.0,
,,,,,,A012220,,,,存货位,135.0,90.0,160.0,可用,A,1.0,22.0,20.0,
,,,,,,A012230,,,,存货位,135.0,90.0,120.0,可用,A,1.0,22.0,30.0,
,,,,,,A012240,,,,存货位,135.0,90.0,120.0,可用,A,1.0,22.0,40.0,
,,,,,,A012250,,,,存货位,135.0,90.0,120.0,可用,A,1.0,22.0,50.0,
,,,,,,A012300,,,,存货位,135.0,90.0,160.0,可用,A,1.0,23.0,0.0,
,,,,,,A012310,,,,存货位,135.0,90.0,160.0,可用,A,1.0,23.0,10.0,
,,,,,,A012320,,,,存货位,135.0,90.0,160.0,可用,A,1.0,23.0,20.0,
,,,,,,A012330,,,,存货位,135.0,90.0,120.0,可用,A,1.0,23.0,30.0,
,,,,,,A012340,,,,存货位,135.0,90.0,120.0,可用,A,1.0,23.0,40.0,
,,,,,,A012350,,,,存货位,135.0,90.0,120.0,可用,A,1.0,23.0,50.0,
,,,,,,A012400,,,,存货位,135.0,90.0,160.0,可用,A,1.0,24.0,0.0,
,,,,,,A012410,,,,存货位,135.0,90.0,160.0,可用,A,1.0,24.0,10.0,
,,,,,,A012420,,,,存货位,135.0,90.0,160.0,可用,A,1.0,24.0,20.0,
,,,,,,A012430,,,,存货位,135.0,90.0,120.0,可用,A,1.0,24.0,30.0,
,,,,,,A012440,,,,存货位,135.0,90.0,120.0,可用,A,1.0,24.0,40.0,
,,,,,,A012450,,,,存货位,135.0,90.0,120.0,可用,A,1.0,24.0,50.0,
,,,,,,A012500,,,,存货位,135.0,90.0,160.0,可用,A,1.0,25.0,0.0,
,,,,,,A012510,,,,存货位,135.0,90.0,160.0,可用,A,1.0,25.0,10.0,
,,,,,,A012520,,,,存货位,135.0,90.0,160.0,可用,A,1.0,25.0,20.0,
,,,,,,A012530,,,,存货位,135.0,90.0,120.0,可用,A,1.0,25.0,30.0,
,,,,,,A012540,,,,存货位,135.0,90.0,120.0,可用,A,1.0,25.0,40.0,
,,,,,,A012550,,,,存货位,135.0,90.0,120.0,可用,A,1.0,25.0,50.0,
,,,,,,A012600,,,,存货位,135.0,90.0,160.0,可用,A,1.0,26.0,0.0,
,,,,,,A012610,,,,存货位,135.0,90.0,160.0,可用,A,1.0,26.0,10.0,
,,,,,,A012620,,,,存货位,135.0,90.0,160.0,可用,A,1.0,26.0,20.0,
,,,,,,A012630,,,,存货位,135.0,90.0,120.0,可用,A,1.0,26.0,30.0,
,,,,,,A012640,,,,存货位,135.0,90.0,120.0,可用,A,1.0,26.0,40.0,
,,,,,,A012650,,,,存货位,135.0,90.0,120.0,可用,A,1.0,26.0,50.0,
,,,,,,A012700,,,,存货位,135.0,90.0,160.0,可用,A,1.0,27.0,0.0,
,,,,,,A012710,,,,存货位,135.0,90.0,160.0,可用,A,1.0,27.0,10.0,
,,,,,,A012720,,,,存货位,135.0,90.0,160.0,可用,A,1.0,27.0,20.0,
,,,,,,A012730,,,,存货位,135.0,90.0,120.0,可用,A,1.0,27.0,30.0,
,,,,,,A012740,,,,存货位,135.0,90.0,120.0,可用,A,1.0,27.0,40.0,
,,,,,,A012750,,,,存货位,135.0,90.0,120.0,可用,A,1.0,27.0,50.0,
,,,,,,A012800,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,28.0,0.0,
,,,,,,A012810,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,28.0,10.0,
,,,,,,A012820,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,28.0,20.0,
,,,,,,A012830,,,,存货位,135.0,90.0,120.0,可用,A,1.0,28.0,30.0,
,,,,,,A012840,,,,存货位,135.0,90.0,120.0,可用,A,1.0,28.0,40.0,
,,,,,,A012850,,,,存货位,135.0,90.0,120.0,可用,A,1.0,28.0,50.0,
,,,,,,A012900,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,29.0,0.0,
,,,,,,A012910,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,29.0,10.0,
,,,,,,A012920,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,29.0,20.0,
,,,,,,A012930,,,,存货位,135.0,90.0,120.0,可用,A,1.0,29.0,30.0,
,,,,,,A012940,,,,存货位,135.0,90.0,120.0,可用,A,1.0,29.0,40.0,
,,,,,,A012950,,,,存货位,135.0,90.0,120.0,可用,A,1.0,29.0,50.0,
,,,,,,A013000,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,30.0,0.0,
,,,,,,A013010,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,30.0,10.0,
,,,,,,A013020,,,,存货位,135.0,90.0,160.0,不可用,A,1.0,30.0,20.0,
,,,,,,A013030,,,,存货位,135.0,90.0,120.0,可用,A,1.0,30.0,30.0,
,,,,,,A013040,,,,存货位,135.0,90.0,120.0,可用,A,1.0,30.0,40.0,
,,,,,,A013050,,,,存货位,135.0,90.0,120.0,可用,A,1.0,30.0,50.0,
,,,,,,A013100,,,,存货位,135.0,90.0,160.0,可用,A,1.0,31.0,0.0,
,,,,,,A013110,,,,存货位,135.0,90.0,160.0,可用,A,1.0,31.0,10.0,
,,,,,,A013120,,,,存货位,135.0,90.0,160.0,可用,A,1.0,31.0,20.0,
,,,,,,A013130,,,,存货位,135.0,90.0,120.0,可用,A,1.0,31.0,30.0,
,,,,,,A013140,,,,存货位,135.0,90.0,120.0,可用,A,1.0,31.0,40.0,
,,,,,,A013150,,,,存货位,135.0,90.0,120.0,可用,A,1.0,31.0,50.0,
,,,,,,A013200,,,,存货位,135.0,90.0,160.0,可用,A,1.0,32.0,0.0,
,,,,,,A013210,,,,存货位,135.0,90.0,160.0,可用,A,1.0,32.0,10.0,
,,,,,,A013220,,,,存货位,135.0,90.0,160.0,可用,A,1.0,32.0,20.0,
,,,,,,A013230,,,,存货位,135.0,90.0,120.0,可用,A,1.0,32.0,30.0,
,,,,,,A013240,,,,存货位,135.0,90.0,120.0,可用,A,1.0,32.0,40.0,
,,,,,,A013250,,,,存货位,135.0,90.0,120.0,可用,A,1.0,32.0,50.0,
,,,,,,A013300,,,,存货位,135.0,90.0,160.0,可用,A,1.0,33.0,0.0,
,,,,,,A013310,,,,存货位,135.0,90.0,160.0,可用,A,1.0,33.0,10.0,
,,,,,,A013320,,,,存货位,135.0,90.0,160.0,可用,A,1.0,33.0,20.0,
,,,,,,A013330,,,,存货位,135.0,90.0,120.0,可用,A,1.0,33.0,30.0,
,,,,,,A013340,,,,存货位,135.0,90.0,120.0,可用,A,1.0,33.0,40.0,
,,,,,,A013350,,,,存货位,135.0,90.0,120.0,可用,A,1.0,33.0,50.0,
,,,,,,A013400,,,,存货位,135.0,90.0,160.0,可用,A,1.0,34.0,0.0,
,,,,,,A013410,,,,存货位,135.0,90.0,160.0,可用,A,1.0,34.0,10.0,
,,,,,,A013420,,,,存货位,135.0,90.0,160.0,可用,A,1.0,34.0,20.0,
,,,,,,A013430,,,,存货位,135.0,90.0,120.0,可用,A,1.0,34.0,30.0,
,,,,,,A013440,,,,存货位,135.0,90.0,120.0,可用,A,1.0,34.0,40.0,
,,,,,,A013450,,,,存货位,135.0,90.0,120.0,可用,A,1.0,34.0,50.0,
,,,,,,A013500,,,,存货位,135.0,90.0,160.0,可用,A,1.0,35.0,0.0,
,,,,,,A013510,,,,存货位,135.0,90.0,160.0,可用,A,1.0,35.0,10.0,
,,,,,,A013520,,,,存货位,135.0,90.0,160.0,可用,A,1.0,35.0,20.0,
,,,,,,A013530,,,,存货位,135.0,90.0,120.0,可用,A,1.0,35.0,30.0,
,,,,,,A013540,,,,存货位,135.0,90.0,120.0,可用,A,1.0,35.0,40.0,
,,,,,,A013550,,,,存货位,135.0,90.0,120.0,可用,A,1.0,35.0,50.0,
,,,,,,A013600,,,,存货位,135.0,90.0,160.0,可用,A,1.0,36.0,0.0,
,,,,,,A013610,,,,存货位,135.0,90.0,160.0,可用,A,1.0,36.0,10.0,
,,,,,,A013620,,,,存货位,135.0,90.0,160.0,可用,A,1.0,36.0,20.0,
,,,,,,A013630,,,,存货位,135.0,90.0,120.0,可用,A,1.0,36.0,30.0,
,,,,,,A013640,,,,存货位,135.0,90.0,120.0,可用,A,1.0,36.0,40.0,
,,,,,,A013650,,,,存货位,135.0,90.0,120.0,可用,A,1.0,36.0,50.0,
,,,,,,A013700,,,,存货位,135.0,90.0,160.0,可用,A,1.0,37.0,0.0,
,,,,,,A013710,,,,存货位,135.0,90.0,160.0,可用,A,1.0,37.0,10.0,
,,,,,,A013720,,,,存货位,135.0,90.0,160.0,可用,A,1.0,37.0,20.0,
,,,,,,A013730,,,,存货位,135.0,90.0,120.0,可用,A,1.0,37.0,30.0,
,,,,,,A013740,,,,存货位,135.0,90.0,120.0,可用,A,1.0,37.0,40.0,
,,,,,,A013750,,,,存货位,135.0,90.0,120.0,可用,A,1.0,37.0,50.0,
,,,,,,A013800,,,,存货位,135.0,90.0,160.0,可用,A,1.0,38.0,0.0,
,,,,,,A013810,,,,存货位,135.0,90.0,160.0,可用,A,1.0,38.0,10.0,
,,,,,,A013820,,,,存货位,135.0,90.0,160.0,可用,A,1.0,38.0,20.0,
,,,,,,A013830,,,,存货位,135.0,90.0,120.0,可用,A,1.0,38.0,30.0,
,,,,,,A013840,,,,存货位,135.0,90.0,120.0,可用,A,1.0,38.0,40.0,
,,,,,,A013850,,,,存货位,135.0,90.0,120.0,可用,A,1.0,38.0,50.0,
,,,,,,A013900,,,,存货位,135.0,90.0,160.0,可用,A,1.0,39.0,0.0,
,,,,,,A013910,,,,存货位,135.0,90.0,160.0,可用,A,1.0,39.0,10.0,
,,,,,,A013920,,,,存货位,135.0,90.0,160.0,可用,A,1.0,39.0,20.0,
,,,,,,A013930,,,,存货位,135.0,90.0,120.0,可用,A,1.0,39.0,30.0,
,,,,,,A013940,,,,存货位,135.0,90.0,120.0,可用,A,1.0,39.0,40.0,
,,,,,,A013950,,,,存货位,135.0,90.0,120.0,可用,A,1.0,39.0,50.0,
,,,,,,A014000,,,,存货位,135.0,90.0,160.0,可用,A,1.0,40.0,0.0,
,,,,,,A014010,,,,存货位,135.0,90.0,160.0,可用,A,1.0,40.0,10.0,
,,,,,,A014020,,,,存货位,135.0,90.0,160.0,可用,A,1.0,40.0,20.0,
,,,,,,A014030,,,,存货位,135.0,90.0,120.0,可用,A,1.0,40.0,30.0,
,,,,,,A014040,,,,存货位,135.0,90.0,120.0,可用,A,1.0,40.0,40.0,
,,,,,,A014050,,,,存货位,135.0,90.0,120.0,可用,A,1.0,40.0,50.0,
,,,,,,A014100,,,,存货位,135.0,90.0,160.0,可用,A,1.0,41.0,0.0,
,,,,,,A014110,,,,存货位,135.0,90.0,160.0,可用,A,1.0,41.0,10.0,
,,,,,,A014120,,,,存货位,135.0,90.0,160.0,可用,A,1.0,41.0,20.0,
,,,,,,A014130,,,,存货位,135.0,90.0,120.0,可用,A,1.0,41.0,30.0,
,,,,,,A014140,,,,存货位,135.0,90.0,120.0,可用,A,1.0,41.0,40.0,
,,,,,,A014150,,,,存货位,135.0,90.0,120.0,可用,A,1.0,41.0,50.0,
,,,,,,A014200,,,,存货位,135.0,90.0,160.0,可用,A,1.0,42.0,0.0,
,,,,,,A014210,,,,存货位,135.0,90.0,160.0,可用,A,1.0,42.0,10.0,
,,,,,,A014220,,,,存货位,135.0,90.0,160.0,可用,A,1.0,42.0,20.0,
,,,,,,A014230,,,,存货位,135.0,90.0,120.0,可用,A,1.0,42.0,30.0,
,,,,,,A014240,,,,存货位,135.0,90.0,120.0,可用,A,1.0,42.0,40.0,
,,,,,,A014250,,,,存货位,135.0,90.0,120.0,可用,A,1.0,42.0,50.0,
,,,,,,A014300,,,,存货位,135.0,90.0,160.0,可用,A,1.0,43.0,0.0,
,,,,,,A014310,,,,存货位,135.0,90.0,160.0,可用,A,1.0,43.0,10.0,
,,,,,,A014320,,,,存货位,135.0,90.0,160.0,可用,A,1.0,43.0,20.0,
,,,,,,A014330,,,,存货位,135.0,90.0,120.0,可用,A,1.0,43.0,30.0,
,,,,,,A014340,,,,存货位,135.0,90.0,120.0,可用,A,1.0,43.0,40.0,
,,,,,,A014350,,,,存货位,135.0,90.0,120.0,可用,A,1.0,43.0,50.0,
,,,,,,A014400,,,,存货位,135.0,90.0,160.0,可用,A,1.0,44.0,0.0,
,,,,,,A014410,,,,存货位,135.0,90.0,160.0,可用,A,1.0,44.0,10.0,
,,,,,,A014420,,,,存货位,135.0,90.0,160.0,可用,A,1.0,44.0,20.0,
,,,,,,A014430,,,,存货位,135.0,90.0,120.0,可用,A,1.0,44.0,30.0,
,,,,,,A014440,,,,存货位,135.0,90.0,120.0,可用,A,1.0,44.0,40.0,
,,,,,,A014450,,,,存货位,135.0,90.0,120.0,可用,A,1.0,44.0,50.0,
,,,,,,A014500,,,,存货位,135.0,90.0,160.0,可用,A,1.0,45.0,0.0,
,,,,,,A014510,,,,存货位,135.0,90.0,160.0,可用,A,1.0,45.0,10.0,
,,,,,,A014520,,,,存货位,135.0,90.0,160.0,可用,A,1.0,45.0,20.0,
,,,,,,A014530,,,,存货位,135.0,90.0,120.0,可用,A,1.0,45.0,30.0,
,,,,,,A014540,,,,存货位,135.0,90.0,120.0,可用,A,1.0,45.0,40.0,
,,,,,,A014550,,,,存货位,135.0,90.0,120.0,可用,A,1.0,45.0,50.0,
,,,,,,A014600,,,,存货位,135.0,90.0,160.0,可用,A,1.0,46.0,0.0,
,,,,,,A014610,,,,存货位,135.0,90.0,160.0,可用,A,1.0,46.0,10.0,
,,,,,,A014620,,,,存货位,135.0,90.0,160.0,可用,A,1.0,46.0,20.0,
,,,,,,A014630,,,,存货位,135.0,90.0,120.0,可用,A,1.0,46.0,30.0,
,,,,,,A014640,,,,存货位,135.0,90.0,120.0,可用,A,1.0,46.0,40.0,
,,,,,,A014650,,,,存货位,135.0,90.0,120.0,可用,A,1.0,46.0,50.0,
,,,,,,A014700,,,,存货位,135.0,90.0,160.0,可用,A,1.0,47.0,0.0,
,,,,,,A014710,,,,存货位,135.0,90.0,160.0,可用,A,1.0,47.0,10.0,
,,,,,,A014720,,,,存货位,135.0,90.0,160.0,可用,A,1.0,47.0,20.0,
,,,,,,A014730,,,,存货位,135.0,90.0,120.0,可用,A,1.0,47.0,30.0,
,,,,,,A014740,,,,存货位,135.0,90.0,120.0,可用,A,1.0,47.0,40.0,
,,,,,,A014750,,,,存货位,135.0,90.0,120.0,可用,A,1.0,47.0,50.0,
,,,,,,A014800,,,,存货位,135.0,90.0,160.0,可用,A,1.0,48.0,0.0,
,,,,,,A014810,,,,存货位,135.0,90.0,160.0,可用,A,1.0,48.0,10.0,
,,,,,,A014820,,,,存货位,135.0,90.0,160.0,可用,A,1.0,48.0,20.0,
,,,,,,A014830,,,,存货位,135.0,90.0,120.0,可用,A,1.0,48.0,30.0,
,,,,,,A014840,,,,存货位,135.0,90.0,120.0,可用,A,1.0,48.0,40.0,
,,,,,,A014850,,,,存货位,135.0,90.0,120.0,可用,A,1.0,48.0,50.0,
,,,,,,A014900,,,,存货位,135.0,90.0,160.0,可用,A,1.0,49.0,0.0,
,,,,,,A014910,,,,存货位,135.0,90.0,160.0,可用,A,1.0,49.0,10.0,
,,,,,,A014920,,,,存货位,135.0,90.0,160.0,可用,A,1.0,49.0,20.0,
,,,,,,A014930,,,,存货位,135.0,90.0,120.0,可用,A,1.0,49.0,30.0,
,,,,,,A014940,,,,存货位,135.0,90.0,120.0,可用,A,1.0,49.0,40.0,
